date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:59	267230/267230	---M-Z	200	added ('OK')	image/x-icon	etag:%22413de-67c13d85-ce5174dcda51f6e1;gz%22	https://www.spygram.com.br/whatsapp/_assets/images/favicon.ico	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/images/favicon.ico	(from https://www.spygram.com.br/whatsapp/)
15:14:59	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-67c13d84-22e852b0aa0fe8b3;gz%22	https://www.spygram.com.br/whatsapp/_assets/libs/bootstrap-5.0.2/css/bootstrap.min.css	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/libs/bootstrap-5.0.2/css/bootstrap.min.css	(from https://www.spygram.com.br/whatsapp/)
15:14:59	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-67c13d84-bda6e100b1d7e16c;gz%22	https://www.spygram.com.br/whatsapp/_assets/libs/aos-2.3.1/css/aos.min.css	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/libs/aos-2.3.1/css/aos.min.css	(from https://www.spygram.com.br/whatsapp/)
15:14:59	14366/14366	---M-Z	200	added ('OK')	text/css	etag:%22381e-67c13d82-daced6b0f3b5df83;gz%22	https://www.spygram.com.br/whatsapp/_styles/global.css?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_styles/global7033.css	(from https://www.spygram.com.br/whatsapp/)
15:14:59	60089/60089	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eab9-67c13d83-c45364a512259868;gz%22	https://www.spygram.com.br/whatsapp/_assets/libs/bootstrap-5.0.2/js/bootstrap.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/libs/bootstrap-5.0.2/js/bootstrap.min.js	(from https://www.spygram.com.br/whatsapp/)
15:15:00	14239/14239	---M-Z	200	added ('OK')	application/x-javascript	etag:%22379f-67c13d84-fa64354ece8c39e3;gz%22	https://www.spygram.com.br/whatsapp/_assets/libs/aos-2.3.1/js/aos.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/libs/aos-2.3.1/js/aos.min.js	(from https://www.spygram.com.br/whatsapp/)
15:15:00	87532/87532	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ec-67c13d83-9343b5bd9186f2d4;gz%22	https://www.spygram.com.br/whatsapp/_assets/libs/jquery-3.7.1/js/jquery.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/libs/jquery-3.7.1/js/jquery.min.js	(from https://www.spygram.com.br/whatsapp/)
15:15:00	9166/9166	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223ce-67c13d82-b8b1a6a12d38e1dd;gz%22	https://www.spygram.com.br/whatsapp/_utils/js/utils.js?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_utils/js/utils7033.js	(from https://www.spygram.com.br/whatsapp/)
15:15:00	24485/24485	---M--	200	added ('OK')	image/png	etag:%225fa5-67c13d85-8cf89a11b56f2bff;;;%22	https://www.spygram.com.br/whatsapp/_assets/images/logo.png	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/images/logo.png	(from https://www.spygram.com.br/whatsapp/)
15:15:01	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Apr%202025%2018:16:00%20GMT	https://www.spygram.com.br/whatsapp/login	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/login	(from https://www.spygram.com.br/whatsapp/)
15:15:01	3931/3931	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Apr%202025%2018:16:01%20GMT	https://www.spygram.com.br/whatsapp/login/	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/login/index.html	(from https://www.spygram.com.br/whatsapp/)
15:15:01	45854/45854	---M--	200	added ('OK')	image/png	etag:%22b31e-67c13d85-7f818d654e516af8;;;%22	https://www.spygram.com.br/whatsapp/_assets/images/whatsapp.png	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/images/whatsapp.png	(from https://www.spygram.com.br/whatsapp/)
15:15:01	12248/12248	---M--	200	added ('OK')	image/png	etag:%222fd8-67c13d85-6371b6d635c50d4b;;;%22	https://www.spygram.com.br/whatsapp/_assets/images/ssl-secure.png	C:/Meus%20Sites/webspy/www.spygram.com.br/whatsapp/_assets/images/ssl-secure.png	(from https://www.spygram.com.br/whatsapp/)
